Date,Open,High,Low,Close,Volume
2018-01-02,40.0,40.7069,39.4991,40.2035,18284093
2018-01-03,40.2541,40.746,39.9237,40.4142,7227626
2018-01-04,40.3966,40.8664,39.7095,40.1768,35762758
2018-01-05,40.0942,40.4036,39.21,39.5149,20170897
2018-01-08,39.3362,39.6349,39.2383,39.5365,10584059
2018-01-09,39.4335,39.7439,39.2264,39.5363,23480196
2018-01-10,39.4913,39.7763,38.7582,39.0399,13976223
2018-01-11,39.1294,39.439,38.4419,38.7485,12637079
2018-01-12,38.5526,39.1983,38.0381,38.682,28308590
2018-01-15,38.5236,38.9221,37.9023,38.2985,9463403
2018-01-16,38.3239,38.5649,37.9829,38.2233,9865385
2018-01-17,38.1032,38.6047,37.7178,38.2181,10444859
2018-01-18,38.2568,39.0608,37.3887,38.1914,11721051
2018-01-19,38.1444,38.3094,37.8054,37.9697,53721329
2018-01-22,37.8843,38.5264,37.5043,38.1438,12353710
2018-01-23,37.9914,38.8371,37.5855,38.4265,9900233
2018-01-24,38.4158,38.6159,38.3034,38.5032,15822488
2018-01-25,38.4192,38.4681,38.1185,38.1671,19931715
2018-01-26,38.0971,38.6139,37.8769,38.3921,24434830
2018-01-29,38.3188,38.3612,38.1288,38.171,10509181
2018-01-30,38.1925,39.0962,37.5501,38.4495,32356469
2018-01-31,38.4667,38.9059,37.5886,38.0227,15948693
2018-02-01,37.8273,38.4387,37.703,38.3129,10513795
2018-02-02,38.2944,38.8219,37.7388,38.2659,10893990
2018-02-05,38.3117,38.3818,37.7087,37.7779,17986550
2018-02-06,37.8957,38.2328,37.2922,37.627,14935090
2018-02-07,37.7154,37.8189,37.504,37.6072,12515222
2018-02-08,37.6308,37.724,37.5721,37.6652,15778380
2018-02-09,37.5361,37.8471,36.9697,37.2786,37744681
2018-02-12,37.1925,37.4193,36.6276,36.8523,26467164
2018-02-13,36.9534,37.0115,36.8257,36.8836,12203207
2018-02-14,36.8059,37.0014,36.4884,36.6833,11189393
2018-02-15,36.7962,37.544,35.9805,36.7269,22147916
2018-02-16,36.8673,37.0692,36.7514,36.9531,9722770
2018-02-19,36.8353,37.0837,36.0991,36.3441,7113101
2018-02-20,36.3922,36.4192,36.3669,36.3939,10076391
2018-02-21,36.3816,37.1533,36.0116,36.7793,8702705
2018-02-22,37.003,37.3467,36.2977,36.638,8150575
2018-02-23,36.7302,37.3785,35.6796,36.3207,13358683
2018-02-26,36.2651,37.0953,35.716,36.5419,10664210
2018-02-27,36.5866,36.6851,36.4931,36.5916,12779695
2018-02-28,36.4908,37.1968,36.1618,36.8644,16890804
2018-03-01,36.8477,37.5563,36.0004,36.7063,11832803
2018-03-02,36.7289,37.0027,35.8889,36.1584,8168534
2018-03-05,36.1746,36.7115,35.5479,36.0834,10072775
2018-03-06,36.1167,36.5061,35.5075,35.8945,20536429
2018-03-07,35.7968,37.1084,34.8183,36.121,9476619
2018-03-08,35.9201,36.5775,35.495,36.1496,9279942
2018-03-09,36.1103,36.1104,35.5598,35.5599,17286246
2018-03-12,35.4647,35.6188,34.9716,35.1242,10043963
2018-03-13,35.0504,35.5601,34.874,35.382,10031884
2018-03-14,35.6089,35.8272,35.355,35.5731,16152332
2018-03-15,35.6972,35.9279,35.0937,35.3219,13843899
2018-03-16,35.3034,35.4797,35.1088,35.285,11687882
2018-03-19,35.1332,35.6629,34.8695,35.3971,12384546
2018-03-20,35.2593,35.5222,35.2544,35.5173,22486815
2018-03-21,35.5558,35.9684,35.3641,35.7755,16717390
2018-03-22,35.8903,36.2625,35.4536,35.8252,11072492
2018-03-23,35.7941,35.8101,35.74,35.756,12357839
2018-03-26,35.7705,36.131,35.2725,35.6317,27680766
2018-03-27,35.6589,36.1029,35.5088,35.9516,13391246
2018-03-28,36.0666,36.2302,34.9991,35.1586,16882656
2018-03-29,34.9602,35.192,34.8448,35.0762,16600517
2018-03-30,35.0926,35.3184,34.8252,35.0507,11996868
2018-04-02,35.0934,35.1216,34.5182,34.546,15736333
2018-04-03,34.6445,34.6968,34.5666,34.6189,10069973
2018-04-04,34.6601,34.6973,34.3339,34.3709,13243492
2018-04-05,34.2574,34.6284,34.2454,34.6162,23436024
2018-04-06,34.5559,34.7006,34.3947,34.5393,13812322
2018-04-09,34.3814,34.9939,34.1125,34.7224,27266092
2018-04-10,34.7425,35.1016,34.7292,35.0882,16024788
2018-04-11,35.1085,35.201,35.0864,35.1789,18165030
2018-04-12,35.2329,35.611,34.4788,34.8529,15535794
2018-04-13,34.7514,34.9802,34.0962,34.3221,10387049
2018-04-16,34.2047,35.0529,34.0147,34.8593,22694691
2018-04-17,35.0189,35.2325,34.5744,34.7866,26053552
2018-04-18,34.8056,35.4021,33.9335,34.5252,16726955
2018-04-19,34.706,34.9723,34.2715,34.5365,14854970
2018-04-20,34.582,34.6365,34.3841,34.4383,13433073
