Date,Open,High,Low,Close,Volume
2018-01-02,85.0,87.5365,84.3225,86.8443,10695814
2018-01-03,86.7023,88.0172,86.1406,87.4506,21491449
2018-01-04,87.2157,88.775,86.6915,88.2446,17397646
2018-01-05,88.4512,89.5888,86.7771,87.9077,9297052
2018-01-08,87.5965,90.656,87.1417,90.1877,21780438
2018-01-09,90.3262,90.4909,87.272,87.4315,29378098
2018-01-10,87.2445,87.74,85.9863,86.4775,10114881
2018-01-11,86.699,87.7844,86.0789,87.1611,9464916
2018-01-12,86.8545,92.6829,86.0366,91.8182,11383490
2018-01-15,92.1345,92.6721,89.4138,89.9386,16784976
2018-01-16,90.0192,90.7212,86.6344,87.3153,14222747
2018-01-17,87.2395,87.5998,85.6617,86.017,12652533
2018-01-18,85.7985,88.7155,85.5901,88.5005,9145053
2018-01-19,88.463,89.5199,86.9483,87.9997,19699249
2018-01-22,87.7594,93.3121,85.9787,91.4564,14385222
2018-01-23,91.1313,91.9587,86.0259,86.8141,15170177
2018-01-24,87.0968,89.8369,86.9879,89.7247,14424365
2018-01-25,89.8882,92.7435,89.6389,92.4871,16490102
2018-01-26,92.8316,92.974,88.7929,88.9292,7715474
2018-01-29,88.5716,89.9364,88.0456,89.4054,11764709
2018-01-30,88.8864,93.2625,88.2811,92.6318,14935815
2018-01-31,92.1946,93.9564,91.201,92.9546,16629347
2018-02-01,93.1386,96.568,92.3144,95.721,17744894
2018-02-02,95.955,103.4068,95.0948,102.4881,21544202
2018-02-05,101.921,105.1137,100.2208,103.389,14325386
2018-02-06,103.7085,103.769,102.612,102.6718,20286916
2018-02-07,102.5396,102.5743,100.5172,100.5512,19198570
2018-02-08,100.1924,103.8744,98.8654,102.5167,16836017
2018-02-09,102.4941,102.6167,101.9252,102.0472,13677558
2018-02-12,102.2227,103.1072,100.7524,101.6317,12877314
2018-02-13,101.5676,102.6101,100.3879,101.429,14777671
2018-02-14,101.3766,103.5167,101.2788,103.4169,20095315
2018-02-15,103.1566,103.3901,100.2093,100.4367,10728748
