Date,Open,High,Low,Close,Volume
2018-01-02,250.0,250.6735,248.1036,248.7738,10767475
2018-01-03,249.742,252.406,242.0616,244.6716,13384063
2018-01-04,245.3584,248.8257,239.6838,243.1196,7072047
2018-01-05,241.6542,243.4171,237.204,238.9472,21128083
2018-01-08,238.8743,240.8515,231.9366,233.8725,57944681
2018-01-09,234.593,238.3922,230.8749,234.6728,16858062
2018-01-10,234.028,236.4514,228.1922,230.5799,6188358
2018-01-11,229.3975,236.6169,227.6616,234.8398,14793679
2018-01-12,233.1956,240.4227,230.3016,237.4756,14479818
2018-01-15,238.9146,240.5609,228.5063,230.0918,20353058
2018-01-16,229.4413,232.3771,228.1248,231.0513,18692120
2018-01-17,231.1686,231.7183,226.509,227.0489,27059694
2018-01-18,226.2999,227.8419,225.5996,227.139,23861661
2018-01-19,227.4294,228.5353,226.1618,227.2669,17632644
2018-01-22,228.4128,229.265,219.4114,220.2331,11372747
2018-01-23,219.2526,223.6714,214.9818,219.3978,11513488
2018-01-24,219.3508,220.8404,217.0048,218.4886,15828482
2018-01-25,217.9731,224.3325,215.4808,221.7965,12367045
2018-01-26,220.5176,220.87,217.333,217.6809,23014054
2018-01-29,217.0814,220.3169,216.9646,220.1984,19766191
2018-01-30,220.2132,221.8115,214.8228,216.3934,20310909
2018-01-31,217.2074,217.3745,215.0751,215.2406,5430762
2018-02-01,216.0799,216.1437,212.3214,212.3841,10146719
2018-02-02,212.3706,217.9215,211.7225,217.2585,23598047
2018-02-05,216.1545,221.3998,213.9695,219.1841,15669385
2018-02-06,219.6259,228.574,218.7951,227.7126,15579453
2018-02-07,227.7068,231.9946,225.7299,229.9978,20699935
2018-02-08,229.9843,233.1693,229.8665,233.05,11554755
2018-02-09,232.23,236.321,232.0389,236.1267,11388698
2018-02-12,236.0115,237.8169,232.0637,233.8527,12639528
2018-02-13,235.2592,236.2777,232.5548,233.5659,9015394
2018-02-14,234.6321,239.0332,234.1635,238.5567,13281156
2018-02-15,239.4881,242.2975,234.2614,237.0421,6497285
2018-02-16,237.5279,238.54,236.7071,237.7185,26653554
2018-02-19,237.4287,239.2144,235.8252,237.6096,29723866
2018-02-20,237.611,240.7155,236.774,239.8705,19613128
2018-02-21,239.9817,243.7441,234.7278,238.4664,15896103
2018-02-22,238.752,240.4574,236.1663,237.8654,6658144
2018-02-23,237.6112,240.8414,235.5252,238.7455,33991610
2018-02-26,238.1126,241.0948,236.1296,239.1035,19346802
2018-02-27,239.9246,244.3484,231.4908,235.8393,10866979
2018-02-28,235.5703,239.8718,234.8694,239.1602,10421599
2018-03-01,239.779,244.1187,230.0498,234.2902,15971042
2018-03-02,234.1659,239.8775,224.2647,229.8716,10685369
2018-03-05,230.3512,230.8565,224.7533,225.2474,17606495
2018-03-06,225.6049,229.5524,224.7398,228.6755,21821872
2018-03-07,229.197,231.2545,225.3113,227.3523,8755166
2018-03-08,227.8345,229.6944,222.0467,223.8742,7895054
2018-03-09,223.2257,227.1137,216.0476,219.8773,11186986
2018-03-12,218.9643,225.6467,214.6765,221.313,21828483
2018-03-13,221.2839,222.8878,216.0624,217.6399,16332497
2018-03-14,218.7461,218.8368,213.2084,213.2967,15552592
2018-03-15,212.7545,218.7833,209.3551,215.3425,13560326
2018-03-16,214.7319,215.107,210.9267,211.2959,23740025
2018-03-19,212.7731,214.9826,208.0168,210.1996,9842106
2018-03-20,209.2053,211.0446,208.3159,210.1511,24965638
2018-03-21,209.7844,212.2662,206.1881,208.6566,10752388
2018-03-22,208.3968,209.8418,207.0084,208.453,12376519
2018-03-23,208.0213,213.2828,207.6162,212.8682,17271026
2018-03-26,212.4487,214.2918,209.2848,211.1163,25123020
2018-03-27,211.8154,214.1066,204.7065,206.945,15891789
2018-03-28,207.0769,208.044,200.0809,201.0197,8646225
2018-03-29,201.133,204.1203,197.372,200.3476,15135516
2018-03-30,199.3322,200.4866,198.0609,199.2146,7611483
2018-04-02,199.7007,200.8694,198.8559,200.0232,20918498
2018-04-03,200.1253,200.5706,198.0997,198.5415,15461204
2018-04-04,198.6348,200.2467,195.4273,197.0261,14188947
2018-04-05,197.5251,201.0529,191.2978,194.7765,18647957
2018-04-06,194.9648,196.636,191.5089,193.1647,9204732
2018-04-09,193.1493,194.3127,192.467,193.6287,6818687
2018-04-10,193.8782,196.6086,189.7383,192.4485,12703805
2018-04-11,192.0337,195.3542,189.4182,192.7292,12375075
2018-04-12,192.1975,204.9631,186.0018,198.5624,6604228
2018-04-13,197.7421,202.3155,195.4942,200.0414,15549579
2018-04-16,200.6349,202.2309,193.561,195.1131,21625894
2018-04-17,194.7257,201.7106,193.5385,200.4883,27456126
2018-04-18,200.5989,201.798,200.3666,201.5645,19127514
2018-04-19,202.2512,203.6814,197.1694,198.5736,14717015
2018-04-20,199.6743,205.2932,195.82,201.4055,4966221
2018-04-23,201.1873,201.4703,201.1536,201.4365,5431267
2018-04-24,201.5422,202.6099,198.4128,199.4695,21026642
2018-04-25,199.5311,200.1778,196.8249,197.4649,26621574
2018-04-26,196.6797,199.37,191.7167,194.3755,11021430
2018-04-27,194.0945,198.2363,190.3647,194.4987,15370194
2018-04-30,196.1635,198.1628,195.7796,197.7757,18663253
2018-05-01,197.7414,200.6202,193.8772,196.7415,16944506
2018-05-02,197.81,199.3643,196.4723,198.0251,20183426
2018-05-03,198.4915,204.2379,198.1981,203.9365,10871045
2018-05-04,205.0371,205.9928,199.1154,200.0478,7291214
2018-05-07,200.8635,201.5316,200.1678,200.8359,13506052
2018-05-08,200.9797,203.6394,197.1996,199.8442,14504868
2018-05-09,199.0924,200.3671,195.2556,196.5138,4967514
2018-05-10,197.3786,198.062,192.671,193.3405,13955105
2018-05-11,193.7631,197.9415,189.1023,193.27,44103263
2018-05-14,193.5606,195.6499,192.4872,194.5709,20871924
2018-05-15,195.0913,196.8547,191.1811,192.9249,13297942
2018-05-16,192.4609,193.4765,192.052,193.0663,19226839
2018-05-17,193.1467,196.2345,192.1734,195.2505,19054093
2018-05-18,195.2519,197.2246,194.1724,196.1402,15463607
2018-05-21,195.2525,200.1088,193.9841,198.8172,13162180
2018-05-22,198.091,201.3679,196.9775,200.2423,8468191
2018-05-23,200.1685,205.2218,196.7363,201.7622,9059746
2018-05-24,200.3977,209.0086,199.062,207.6248,18898441
2018-05-25,208.0941,210.7186,207.0299,209.6464,11366367
2018-05-28,210.142,214.0316,206.1605,210.0483,12542596
2018-05-29,210.0013,213.7192,208.6807,212.3836,19465526
2018-05-30,212.5665,212.8349,209.0413,209.3056,19306026
2018-05-31,208.1435,209.1697,207.1434,208.1695,11907813
2018-06-01,208.2784,212.152,206.9029,210.7602,7704085
2018-06-04,211.243,214.1251,209.9654,212.8379,11968783
2018-06-05,213.1655,218.5754,212.6662,218.0646,10033835
2018-06-06,218.676,218.8123,217.9376,218.0735,18840687
2018-06-07,218.0287,219.0558,212.0785,213.0823,7262994
2018-06-08,214.3777,220.7321,213.3615,219.6907,15200315
2018-06-11,219.979,225.0711,218.4099,223.477,17370146
2018-06-12,224.0159,226.0731,217.7364,219.7544,6728493
2018-06-13,220.4779,225.4266,219.6074,224.54,16480538
2018-06-14,224.0117,225.9891,222.6531,224.6268,16164682
2018-06-15,223.8521,226.7806,215.4181,218.2736,28320802
2018-06-18,218.7916,219.3856,216.2179,216.8066,18197657
2018-06-19,215.9741,218.3139,212.7194,215.0492,20576172
2018-06-20,214.6518,220.5034,214.6268,220.4777,15868941
2018-06-21,221.1389,224.2596,214.6452,217.7176,27296072
2018-06-22,216.9873,218.5793,215.232,216.8228,11546995
2018-06-25,216.1691,218.9381,213.0881,215.8531,30262400
2018-06-26,215.031,218.2749,211.3054,214.542,22987728
2018-06-27,213.8548,215.2913,210.0293,211.4495,7459855
2018-06-28,212.6551,212.8497,211.9598,212.154,11519257
2018-06-29,212.5052,216.241,212.0272,215.7557,25718262
2018-07-02,216.385,218.2,216.0467,217.8593,23117863
2018-07-03,216.5641,217.4866,213.7592,214.6736,13387126
2018-07-04,213.0909,217.7654,206.171,210.7951,12781597
2018-07-05,210.0495,213.5217,207.7045,211.1643,19859847
2018-07-06,211.8334,213.4247,207.2332,208.8017,7874031
2018-07-09,209.5449,210.5893,205.6839,206.7141,14807336
2018-07-10,205.4586,205.5049,201.2473,201.2927,25730273
2018-07-11,200.2106,208.9048,198.8999,207.5461,8243643
2018-07-12,207.9514,212.6295,205.8853,210.5377,29128579
2018-07-13,210.6894,211.2175,206.7879,207.3075,30801338
2018-07-16,207.5747,212.6878,205.1857,210.2678,11418621
2018-07-17,210.6824,215.8568,209.5808,214.734,9152944
2018-07-18,214.0599,216.0669,204.839,206.7777,14500099
2018-07-19,206.8444,210.29,201.558,204.9724,17724015
2018-07-20,204.7835,205.6355,202.851,203.6985,20956390
2018-07-23,204.4513,207.0981,203.1249,205.7632,12768026
2018-07-24,205.556,206.6689,204.2327,205.3446,9240997
2018-07-25,204.145,206.7547,201.9703,204.5753,24015916
2018-07-26,205.3513,205.9822,203.7341,204.362,10949714
2018-07-27,205.4763,213.5358,202.4026,210.3886,9360068
2018-07-30,210.9992,218.5439,210.1242,217.6414,10424610
2018-07-31,217.407,219.1779,214.0653,215.8232,19140224
2018-08-01,215.1826,215.78,212.081,212.6714,11716920
2018-08-02,213.3093,222.2171,212.962,221.8559,11961247
2018-08-03,221.4801,224.9916,214.9688,218.432,21696137
2018-08-06,218.7632,222.6103,212.6352,216.4415,9639539
2018-08-07,216.9416,219.3422,214.1433,216.5394,5198534
2018-08-08,216.4329,220.9809,213.641,218.1666,16768892
2018-08-09,216.8145,223.4841,215.0731,221.7035,17215085
2018-08-10,222.0236,223.5912,221.4801,223.0451,17283901
2018-08-13,222.3427,223.4891,218.8402,219.9744,11296318
2018-08-14,218.9054,221.8492,218.7661,221.7082,8319700
2018-08-15,221.6562,227.1663,217.0634,222.5549,12126151
2018-08-16,222.6268,231.6564,220.2439,229.2031,9174734
2018-08-17,229.1168,229.1378,229.0995,229.1206,21466839
2018-08-20,229.5416,233.9158,220.0443,224.319,16606725
2018-08-21,222.9881,225.148,218.493,220.6301,32232655
2018-08-22,221.0004,226.0965,220.6109,225.6988,20094741
2018-08-23,226.7986,231.1483,219.4679,223.7593,13402628
2018-08-24,223.6814,226.5393,213.6728,216.4381,26048142
2018-08-27,216.085,218.1297,212.4121,214.4412,10520526
2018-08-28,214.3071,216.4644,212.2584,214.4146,23641209
2018-08-29,215.1964,219.2497,214.3984,218.4397,22990150
2018-08-30,218.2939,219.9947,213.2761,214.9509,13178604
2018-08-31,214.41,220.475,211.1697,217.1927,10686027
2018-09-03,216.0486,222.42,213.5755,219.9028,14773439
2018-09-04,220.8309,223.7523,214.5901,217.4671,12220961
2018-09-05,218.3968,219.1879,216.0133,216.7987,15246278
2018-09-06,216.7859,224.1045,215.6119,222.8973,18038951
2018-09-07,224.2917,231.08,222.2455,228.9909,16799204
2018-09-10,228.6967,232.0733,228.6917,232.0683,15438635
2018-09-11,232.5645,235.3871,230.4394,233.2557,21556201
2018-09-12,232.3048,240.3621,229.4513,237.4455,16873410
2018-09-13,236.698,238.1757,235.414,236.8906,29219903
2018-09-14,236.8686,238.9422,234.4364,236.5068,7662701
2018-09-17,236.8352,237.5934,232.5481,233.2949,16297040
2018-09-18,233.7193,238.5573,228.4574,233.2864,11560769
2018-09-19,232.6334,234.078,231.5133,232.9564,23926278
2018-09-20,232.5656,240.6752,231.3895,239.4642,15398923
2018-09-21,239.3688,239.9685,238.7502,239.3498,24619245
2018-09-24,239.1298,244.7982,236.9303,242.5671,28572851
2018-09-25,242.361,247.3275,240.9967,245.9431,14019226
2018-09-26,246.5413,247.5871,244.7976,245.8404,23279688
2018-09-27,246.7,249.362,246.2483,248.9063,21529798
2018-09-28,247.4897,249.0673,242.6104,244.1668,11110842
2018-10-01,245.1362,246.0589,243.7936,244.7147,11688502
2018-10-02,244.8372,247.5871,244.2918,247.0369,20558872
2018-10-03,247.2725,252.7612,236.4596,241.8274,6769942
2018-10-04,242.0661,244.4418,237.1641,239.5148,12468785
2018-10-05,240.1873,242.7508,239.6831,242.2423,11714698
2018-10-08,242.7483,247.2121,237.53,241.9798,13782718
2018-10-09,240.8409,243.2367,237.4183,239.8039,14750131
2018-10-10,240.4303,241.2418,238.4726,239.2802,33009081
2018-10-11,238.4509,241.0452,235.7833,238.3768,12462718
2018-10-12,238.6501,242.9257,236.0796,240.3371,8875749
2018-10-15,240.4886,243.009,239.1808,241.6947,14955436
2018-10-16,240.5535,243.5299,238.4108,241.3798,10009377
2018-10-17,241.3854,241.9584,239.6195,240.1897,21222676
2018-10-18,239.9983,240.5197,239.8693,240.3904,20785527
2018-10-19,239.8938,245.0154,238.6453,243.7468,8301048
2018-10-22,245.25,249.6719,240.4657,244.881,8453843
2018-10-23,244.9964,248.0504,243.6506,246.6953,16539296
2018-10-24,246.4135,250.6073,242.4861,246.6757,12060231
2018-10-25,247.9825,250.0536,241.9729,244.0107,14357248
2018-10-26,243.9851,244.9354,241.758,242.7033,26932317
2018-10-29,242.6004,248.7429,238.4206,244.5299,14048278
2018-10-30,243.0336,248.8596,239.3034,245.0977,17250332
2018-10-31,245.5433,249.556,239.3636,243.3403,8734653
2018-11-01,244.0795,244.7139,239.3471,239.9709,8221334
2018-11-02,241.3653,241.6986,240.2129,240.5451,9674023
2018-11-05,239.8005,242.0386,237.8615,240.0971,11407758
2018-11-06,240.8583,243.8113,236.6872,239.6251,18411443
2018-11-07,240.6467,245.212,234.6638,239.2016,21280377
2018-11-08,239.7264,242.7733,237.1247,240.1668,28979430
2018-11-09,240.1671,249.1197,232.2402,241.1599,10239276
2018-11-12,239.9454,246.3779,237.2985,243.6897,20362270
2018-11-13,243.8271,247.945,242.0667,246.1677,10718747
2018-11-14,245.7491,251.4814,243.9177,249.6211,7427002
2018-11-15,248.2944,253.1233,247.0576,251.8687,27682090
2018-11-16,252.3282,253.6903,250.0518,251.4089,18355994
2018-11-19,251.3137,259.6684,243.2731,251.6181,10751903
2018-11-20,251.4351,254.4481,250.1317,253.1359,13374664
2018-11-21,254.6547,256.3175,251.084,252.7343,20570903
2018-11-22,252.3199,257.486,249.2506,254.3916,32041378
2018-11-23,252.7783,257.6143,252.6913,257.5257,22201113
2018-11-26,255.7792,257.139,254.568,255.9271,20408796
2018-11-27,256.3311,261.4725,246.9651,252.02,10919736
2018-11-28,251.8474,255.2414,251.8277,255.2215,7678208
2018-11-29,254.6268,255.998,254.238,255.6077,14612829
2018-11-30,253.9487,259.0359,252.6037,257.6712,8617983
2018-12-03,257.012,257.9263,253.8835,254.7899,12319131
2018-12-04,253.9084,260.6976,252.584,259.3449,25488901
2018-12-05,259.2461,262.8133,257.9566,261.5126,16400745
2018-12-06,260.8154,263.0748,259.2975,261.5526,9589749
2018-12-07,260.842,264.8601,257.0195,261.0348,7241375
2018-12-10,260.9833,262.9741,259.68,261.6674,9443411
2018-12-11,261.0226,262.0886,260.542,261.6069,19236462
2018-12-12,261.8477,262.5597,260.5594,261.2698,5492113
2018-12-13,258.5351,259.4514,257.9525,258.8681,9129820
2018-12-14,257.8713,262.9988,257.2118,262.328,18247321
2018-12-17,263.2753,265.3431,260.5202,262.5826,11461207
2018-12-18,262.7238,264.0595,261.7871,263.1213,14343647
2018-12-19,262.2286,265.452,260.4931,263.7067,9301903
2018-12-20,263.5328,267.9079,253.9551,258.2424,21383287
2018-12-21,257.7645,260.4542,257.196,259.881,37424576
2018-12-24,259.5643,261.5493,257.4386,259.4225,18149335
2018-12-25,260.5266,261.5845,258.0105,259.0625,27048287
2018-12-26,258.7087,261.3031,256.9935,259.5821,12628029
2018-12-27,259.7213,260.7392,256.5443,257.5537,17305036
2018-12-28,256.86,261.5151,255.3271,259.9636,14944904
2018-12-31,259.3489,266.1405,251.835,258.6072,7379799
2019-01-01,257.3626,258.6211,255.4978,256.7534,14117543
2019-01-02,256.2137,257.3367,253.8949,255.0127,14431571
2019-01-03,254.6656,256.7996,253.6095,255.7391,12083128
2019-01-04,255.4709,259.7098,253.6722,257.894,12923698
2019-01-07,257.9093,263.6893,251.038,256.793,7063275
2019-01-08,256.84,257.8337,252.5144,253.4951,18913016
2019-01-09,253.9749,258.3779,252.0131,256.3974,10689646
2019-01-10,256.204,257.6724,252.7145,254.1713,16075650
2019-01-11,255.1594,261.3802,251.2169,257.403,11961630
2019-01-14,257.8518,260.095,255.3759,257.617,21802916
2019-01-15,258.6732,259.4204,255.5267,256.2669,15138743
2019-01-16,256.2019,258.2901,252.9854,255.0644,19399613
2019-01-17,255.982,257.8451,254.6643,256.5246,9097702
2019-01-18,256.5748,261.0446,254.5867,259.0374,19192275
2019-01-21,257.7128,259.1833,257.4314,258.9006,17701046
2019-01-22,258.8606,262.7912,257.6609,261.579,13821695
2019-01-23,261.4162,268.2787,260.3091,267.1474,12099665
2019-01-24,265.9418,267.5057,265.4189,266.9807,16887840
2019-01-25,266.1571,269.9849,260.6486,264.4519,18006925
2019-01-28,263.9413,263.9923,262.1318,262.1824,14475194
2019-01-29,263.9752,264.2088,258.8793,259.1086,15455250
2019-01-30,259.3308,263.1362,254.1094,257.8937,12454778
2019-01-31,259.2932,260.4186,255.3672,256.4805,11155864
2019-02-01,257.1874,257.9646,252.8633,253.6298,8536028
2019-02-04,254.4441,260.6206,249.0869,255.2465,22227953
2019-02-05,255.857,261.8951,243.4755,249.3604,17324179
2019-02-06,248.2172,251.6509,243.1876,246.5989,15641458
2019-02-07,247.5196,252.9158,246.302,251.6778,12905968
2019-02-08,250.8962,258.1928,247.2555,254.4998,13526760
2019-02-11,254.8229,260.4242,250.5244,256.1042,11372744
2019-02-12,256.0104,258.817,254.76,257.5591,20863315
2019-02-13,258.8102,263.3942,257.6886,262.2576,16178228
2019-02-14,263.1962,267.0701,260.0778,263.9429,15215480
2019-02-15,265.3965,267.5025,262.3929,264.4917,13453420
2019-02-18,264.8727,266.5349,260.1439,261.7868,10548089
2019-02-19,261.7832,262.806,260.9343,261.9565,25426736
2019-02-20,262.5585,265.9804,257.1011,260.4962,13822319
2019-02-21,262.3779,267.4749,254.0782,259.1118,21276817
2019-02-22,259.5124,261.1388,256.1001,257.7152,11424783
2019-02-25,257.7429,259.4751,256.222,257.953,15862457
2019-02-26,256.9877,260.1118,254.3776,257.4965,23077833
2019-02-27,256.9092,261.3046,255.5944,259.974,8669521
2019-02-28,259.9022,262.5058,254.5065,257.0819,10614379
2019-03-01,257.6016,258.4432,256.1761,257.0158,9899831
2019-03-04,257.494,267.637,251.8772,261.9235,16811693
2019-03-05,261.8407,263.2227,260.992,262.3722,7337057
2019-03-06,262.4734,270.3305,257.9169,265.7177,12022945
