Date,Open,High,Low,Close,Volume
2018-01-02,20.0,20.5949,19.9762,20.5704,7354235
2018-01-03,20.577,20.7287,20.5274,20.6789,17557335
2018-01-04,20.7286,21.3091,20.702,21.2817,19669111
2018-01-05,21.2221,22.0886,21.0125,21.8725,13502077
2018-01-08,21.9121,22.0489,21.1447,21.2775,17972267
2018-01-09,21.1877,21.3696,20.627,20.8057,5641743
2018-01-10,20.7636,20.769,20.6847,20.6901,14713945
2018-01-11,20.6555,21.4949,20.3063,21.1376,22389761
2018-01-12,21.1239,21.8542,20.9324,21.6579,7867290
2018-01-15,21.6822,21.6823,21.2305,21.2306,16382000
2018-01-16,21.082,21.3581,20.599,20.8724,8399845
2018-01-17,20.8654,20.9483,20.3284,20.4096,9769380
2018-01-18,20.3837,20.601,19.8641,20.0782,9437734
2018-01-19,19.9968,20.1277,19.8165,19.9471,12232949
2018-01-22,19.9268,20.1947,19.6093,19.8766,17535141
2018-01-23,19.901,21.2015,19.7813,21.0748,13622992
2018-01-24,21.0442,21.1461,20.6778,20.7784,21662730
2018-01-25,20.7461,20.8303,20.5294,20.613,16303320
2018-01-26,20.6528,20.9197,20.6203,20.8868,15873827
2018-01-29,20.8381,21.1296,20.0495,20.334,15749838
2018-01-30,20.3961,20.693,19.8335,20.1265,10642658
2018-01-31,20.1481,20.2925,19.9937,20.138,19150516
2018-02-01,20.1625,20.6456,20.1068,20.5888,15637514
2018-02-02,20.624,20.6437,19.8198,19.8387,11711321
2018-02-05,19.9116,20.9782,19.5747,20.6292,9910452
2018-02-06,20.5846,20.7982,20.216,20.428,17256388
2018-02-07,20.4973,20.5997,20.428,20.5303,13490916
2018-02-08,20.476,21.281,20.2348,21.0334,19883045
2018-02-09,21.0563,21.5136,20.9793,21.4352,16847358
2018-02-12,21.4737,22.1364,21.4313,22.0929,11754956
2018-02-13,22.1026,22.3375,21.9716,22.2059,18145072
2018-02-14,22.1325,22.7555,21.5765,22.1978,14038286
2018-02-15,22.1177,22.4183,22.1018,22.4022,21593504
2018-02-16,22.3287,22.7739,21.3487,21.783,13647166
2018-02-19,21.7802,22.5762,21.7549,22.5501,15946851
